"PLOT_UNIQUE_ID","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_not_sampled","n_saplings_vanish_next","n_saplings_not_measured","n_saplings_previous","n_saplings_vanished_last","prev_MEASYEAR","first_MEASYEAR","last_MEASYEAR","is_first_MEASYEAR","is_last_MEASYEAR","n_saplings_died_or_gone","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_or_gone_prop","n_saplings_removed_prop","saplings_second_total","prop_sums"
"9_1_3_200",2015,3,3,0,0,0,0,0,3,0,0,0,2010,2004,2015,FALSE,TRUE,0,NA,NA,NA,NA,3,NA
"9_1_3_214",2010,0,0,0,1,1,0,0,0,0,2,0,2006,2006,2016,FALSE,FALSE,1,0,0.5,0.5,0,0,1
"9_1_3_214",2016,0,0,0,0,0,0,0,0,0,0,0,2010,2006,2016,FALSE,TRUE,0,NA,NA,NA,NA,0,NA
"9_1_3_230",2008,2,1,1,0,2,1,0,0,0,4,0,2003,2003,2020,FALSE,FALSE,2,0.25,0,0.5,0.25,2,1
"9_1_3_230",2013,3,1,2,0,0,0,0,0,0,2,0,2008,2003,2020,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_3_230",2020,9,7,2,0,0,0,1,9,0,3,0,2013,2003,2020,FALSE,TRUE,0,0.666666666666667,0,0,0,9,0.666666666666667
"9_1_3_242",2012,0,0,0,0,0,0,1,0,0,1,0,2008,2008,2018,FALSE,FALSE,0,0,0,0,0,0,0
"9_1_3_242",2018,4,4,0,0,0,0,0,4,0,0,0,2012,2008,2018,FALSE,TRUE,0,NA,NA,NA,NA,4,NA
"9_1_3_244",2008,0,0,0,0,0,0,4,0,0,4,0,2003,2003,2021,FALSE,FALSE,0,0,0,0,0,0,0
"9_1_3_244",2013,2,2,0,0,0,0,0,0,0,0,0,2008,2003,2021,FALSE,FALSE,0,NA,NA,NA,NA,2,NA
"9_1_3_244",2021,1,0,1,1,0,0,0,1,0,2,0,2013,2003,2021,FALSE,TRUE,0,0.5,0.5,0,0,1,1
"9_1_3_288",2012,3,0,3,0,0,0,0,0,0,3,0,2007,2007,2019,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_3_288",2019,3,0,3,0,0,0,0,3,0,3,0,2012,2007,2019,FALSE,TRUE,0,1,0,0,0,3,1
"9_1_3_3",2009,23,14,9,1,0,0,0,2,0,10,0,2004,2004,2021,FALSE,FALSE,0,0.9,0.1,0,0,23,1
"9_1_3_3",2014,20,1,19,0,2,0,0,0,0,23,2,2009,2004,2021,FALSE,FALSE,4,0.826086956521739,0,0.173913043478261,0,20,1
"9_1_3_3",2021,13,0,13,0,7,0,0,17,0,20,0,2014,2004,2021,FALSE,TRUE,7,0.65,0,0.35,0,13,1
"9_1_3_304",2017,10,4,6,0,1,0,0,11,0,12,5,2012,2012,2017,FALSE,TRUE,6,0.5,0,0.5,0,10,1
