"PLOT_UNIQUE_ID","CYCLE","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_previous","prev_measyear","first_measyear","is_first_measyear","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_prop","n_saplings_removed_prop"
"9_1_7_686",6,2011,3,0,3,0,0,0,3,2007,2007,FALSE,1,0,0,0
"9_1_7_686",7,2017,2,0,2,1,0,0,3,2011,2007,FALSE,0.666666666666667,0.333333333333333,0,0
"9_1_9_100",6,2008,1,0,1,0,0,0,1,2003,2003,FALSE,1,0,0,0
"9_1_9_100",7,2014,1,0,1,0,0,0,1,2008,2003,FALSE,1,0,0,0
"9_1_9_100",8,2021,1,0,1,0,0,0,1,2014,2003,FALSE,1,0,0,0
"9_1_9_103",6,2009,4,2,2,2,0,2,6,2004,2004,FALSE,0.333333333333333,0.333333333333333,0,0.333333333333333
"9_1_9_103",7,2015,4,0,4,0,0,0,4,2009,2004,FALSE,1,0,0,0
"9_1_9_106",7,2018,1,0,1,0,0,0,1,2012,2012,FALSE,1,0,0,0
"9_1_9_119",6,2012,1,0,1,0,0,0,1,2008,2008,FALSE,1,0,0,0
"9_1_9_119",7,2018,1,0,1,0,0,0,1,2012,2008,FALSE,1,0,0,0
"9_1_9_139",7,2014,1,0,1,0,0,0,1,2010,2010,FALSE,1,0,0,0
"9_1_9_139",8,2021,1,0,1,0,0,0,1,2014,2010,FALSE,1,0,0,0
"9_1_9_152",6,2010,5,0,5,0,0,0,5,2006,2006,FALSE,1,0,0,0
"9_1_9_152",7,2016,4,0,4,1,0,0,5,2010,2006,FALSE,0.8,0.2,0,0
"9_1_9_192",6,2012,2,0,2,0,0,2,4,2006,2006,FALSE,0.5,0,0,0.5
"9_1_9_192",7,2016,1,0,1,0,1,0,2,2012,2006,FALSE,0.5,0,0.5,0
"9_1_9_210",6,2010,6,0,6,0,0,0,6,2006,2006,FALSE,1,0,0,0
"9_1_9_210",7,2016,7,1,6,0,0,0,6,2010,2006,FALSE,1,0,0,0
"9_1_9_219",6,2010,3,0,3,1,5,0,9,2005,2005,FALSE,0.333333333333333,0.111111111111111,0.555555555555556,0
"9_1_9_219",7,2015,2,0,2,0,1,0,3,2010,2005,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_9_250",6,2012,1,0,1,0,0,0,1,2007,2007,FALSE,1,0,0,0
"9_1_9_250",7,2019,0,0,0,0,0,0,1,2012,2007,FALSE,0,0,0,0
"9_1_9_275",6,2008,6,2,4,1,1,0,6,2003,2003,FALSE,0.666666666666667,0.166666666666667,0.166666666666667,0
"9_1_9_275",7,2014,0,0,0,0,0,0,6,2008,2003,FALSE,0,0,0,0
"9_1_9_277",6,2010,2,0,2,0,0,0,2,2005,2005,FALSE,1,0,0,0
"9_1_9_277",7,2016,2,0,2,0,0,0,2,2010,2005,FALSE,1,0,0,0
"9_1_9_296",6,2008,1,0,1,0,0,0,1,2003,2003,FALSE,1,0,0,0
"9_1_9_296",7,2014,6,6,0,0,1,0,1,2008,2003,FALSE,0,0,1,0
"9_1_9_296",8,2021,5,0,5,0,1,0,6,2014,2003,FALSE,0.833333333333333,0,0.166666666666667,0
"9_1_9_350",6,2012,3,0,3,0,0,0,3,2008,2008,FALSE,1,0,0,0
"9_1_9_350",7,2018,1,0,1,0,2,0,3,2012,2008,FALSE,0.333333333333333,0,0.666666666666667,0
"9_1_9_372",6,2012,3,2,1,0,1,0,2,2008,2008,FALSE,0.5,0,0.5,0
"9_1_9_372",7,2018,3,1,2,0,1,0,3,2012,2008,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_9_377",6,2011,2,0,2,0,1,0,3,2008,2008,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_9_377",7,2018,4,0,4,0,0,0,2,2011,2008,FALSE,2,0,0,0
"9_1_9_420",6,2010,1,0,1,0,4,0,5,2005,2005,FALSE,0.2,0,0.8,0
"9_1_9_420",7,2014,2,1,1,0,0,0,1,2010,2005,FALSE,1,0,0,0
"9_1_9_420",8,2021,0,0,0,0,2,0,2,2014,2005,FALSE,0,0,1,0
"9_1_9_434",6,2008,0,0,0,0,0,0,5,2003,2003,FALSE,0,0,0,0
"9_1_9_434",7,2014,4,4,0,0,0,0,0,2008,2003,FALSE,NA,NA,NA,NA
"9_1_9_434",8,2019,4,0,4,0,0,0,4,2014,2003,FALSE,1,0,0,0
"9_1_9_460",8,2021,4,4,0,0,1,0,1,2014,2014,FALSE,0,0,1,0
"9_1_9_474",6,2011,12,3,9,0,0,0,9,2006,2006,FALSE,1,0,0,0
"9_1_9_474",7,2017,0,0,0,0,0,0,12,2011,2006,FALSE,0,0,0,0
"9_1_9_488",6,2010,5,0,5,0,0,0,5,2006,2006,FALSE,1,0,0,0
"9_1_9_488",7,2016,5,0,5,0,0,0,5,2010,2006,FALSE,1,0,0,0
"9_1_9_491",6,2012,1,0,1,0,0,0,1,2008,2008,FALSE,1,0,0,0
"9_1_9_491",7,2018,0,0,0,0,1,0,1,2012,2008,FALSE,0,0,1,0
"9_1_9_533",7,2014,1,0,1,0,0,0,1,2010,2010,FALSE,1,0,0,0
"9_1_9_533",8,2021,1,0,1,0,0,0,1,2014,2010,FALSE,1,0,0,0
"9_1_9_554",6,2010,3,0,3,1,0,0,4,2005,2005,FALSE,0.75,0.25,0,0
"9_1_9_554",7,2014,3,0,3,0,0,0,3,2010,2005,FALSE,1,0,0,0
"9_1_9_554",8,2021,3,0,3,0,0,0,3,2014,2005,FALSE,1,0,0,0
"9_1_9_561",6,2010,2,0,2,0,1,0,3,2005,2005,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_9_561",7,2014,0,0,0,0,2,0,2,2010,2005,FALSE,0,0,1,0
"9_1_9_575",6,2008,4,0,4,0,1,0,5,2003,2003,FALSE,0.8,0,0.2,0
"9_1_9_575",7,2014,3,0,3,0,1,0,4,2008,2003,FALSE,0.75,0,0.25,0
"9_1_9_575",8,2021,0,0,0,0,3,0,3,2014,2003,FALSE,0,0,1,0
"9_1_9_64",6,2010,1,0,1,0,0,0,1,2006,2006,FALSE,1,0,0,0
"9_1_9_64",7,2015,2,0,2,0,0,0,1,2010,2006,FALSE,2,0,0,0
"9_1_9_677",7,2017,3,0,3,0,1,0,4,2011,2011,FALSE,0.75,0,0.25,0
"9_1_9_98",6,2011,8,0,8,0,0,0,8,2006,2006,FALSE,1,0,0,0
"9_1_9_98",7,2017,7,0,7,0,1,0,8,2011,2006,FALSE,0.875,0,0.125,0
